day,collision_date,NUM_COLLISIONS
5,2014-04-04,622
6,2014-04-05,580
7,2014-04-06,484
1,2014-04-07,533
2,2014-04-08,606
3,2014-04-09,595
4,2014-04-10,645
5,2014-04-11,609
6,2014-04-12,578
7,2014-04-13,482
1,2014-04-14,514
2,2014-04-15,452
3,2014-04-16,570
4,2014-04-17,508
5,2014-04-18,496
6,2014-04-19,525
7,2014-04-20,393
1,2014-04-21,521
2,2014-04-22,459
3,2014-04-23,536
4,2014-04-24,586
5,2014-04-25,617
6,2014-04-26,548
7,2014-04-27,449
1,2014-04-28,597
2,2014-04-29,555
3,2014-04-30,651
4,2014-05-01,650
5,2014-05-02,698
6,2014-05-03,590
7,2014-05-04,451
1,2014-05-05,618
2,2014-05-06,565
3,2014-05-07,603
4,2014-05-08,596
5,2014-05-09,584
6,2014-05-10,549
7,2014-05-11,584
1,2014-05-12,581
2,2014-05-13,560
3,2014-05-14,638
4,2014-05-15,659
5,2014-05-16,700
6,2014-05-17,619
7,2014-05-18,507
1,2014-05-19,572
2,2014-05-20,650
3,2014-05-21,575
4,2014-05-22,593
5,2014-05-23,660
6,2014-05-24,486
7,2014-05-25,472
1,2014-05-26,433
2,2014-05-27,645
3,2014-05-28,538
4,2014-05-29,663
5,2014-05-30,650
6,2014-05-31,587
7,2014-06-01,604
1,2014-06-02,643
2,2014-06-03,663
3,2014-06-04,582
4,2014-06-05,569
5,2014-06-06,743
6,2014-06-07,623
7,2014-06-08,516
1,2014-06-09,528
2,2014-06-10,569
3,2014-06-11,576
4,2014-06-12,563
5,2014-06-13,708
6,2014-06-14,613
7,2014-06-15,475
1,2014-06-16,622
2,2014-06-17,666
3,2014-06-18,663
4,2014-06-19,675
5,2014-06-20,765
6,2014-06-21,557
7,2014-06-22,477
1,2014-06-23,644
2,2014-06-24,632
3,2014-06-25,646
4,2014-06-26,670
5,2014-06-27,660
6,2014-06-28,611
7,2014-06-29,537
1,2014-06-30,610
2,2014-07-01,616
3,2014-07-02,658
4,2014-07-03,740
5,2014-07-04,360
6,2014-07-05,505
7,2014-07-06,451
1,2014-07-07,614
2,2014-07-08,594
3,2014-07-09,569
4,2014-07-10,584
5,2014-07-11,642
6,2014-07-12,550
7,2014-07-13,439
1,2014-07-14,567
2,2014-07-15,587
3,2014-07-16,551
4,2014-07-17,587
5,2014-07-18,624
6,2014-07-19,480
7,2014-07-20,451
1,2014-07-21,557
2,2014-07-22,587
3,2014-07-23,591
4,2014-07-24,539
5,2014-07-25,653
6,2014-07-26,534
7,2014-07-27,476
1,2014-07-28,595
2,2014-07-29,526
3,2014-07-30,605
4,2014-07-31,626
5,2014-08-01,667
6,2014-08-02,540
7,2014-08-03,476
1,2014-08-04,589
2,2014-08-05,606
3,2014-08-06,562
4,2014-08-07,585
5,2014-08-08,601
6,2014-08-09,538
7,2014-08-10,512
1,2014-08-11,604
2,2014-08-12,491
3,2014-08-13,572
4,2014-08-14,625
5,2014-08-15,522
6,2014-08-16,490
7,2014-08-17,476
1,2014-08-18,595
2,2014-08-19,516
3,2014-08-20,551
4,2014-08-21,567
5,2014-08-22,568
6,2014-08-23,454
7,2014-08-24,437
1,2014-08-25,549
2,2014-08-26,608
3,2014-08-27,538
4,2014-08-28,618
5,2014-08-29,631
6,2014-08-30,510
7,2014-08-31,495
1,2014-09-01,392
2,2014-09-02,700
3,2014-09-03,580
4,2014-09-04,727
5,2014-09-05,647
6,2014-09-06,553
7,2014-09-07,477
1,2014-09-08,598
2,2014-09-09,592
3,2014-09-10,618
4,2014-09-11,619
5,2014-09-12,730
6,2014-09-13,558
7,2014-09-14,528
1,2014-09-15,610
2,2014-09-16,613
3,2014-09-17,658
4,2014-09-18,650
5,2014-09-19,648
6,2014-09-20,594
7,2014-09-21,515
1,2014-09-22,662
2,2014-09-23,592
3,2014-09-24,566
4,2014-09-25,491
5,2014-09-26,643
6,2014-09-27,600
7,2014-09-28,512
1,2014-09-29,566
2,2014-09-30,589
3,2014-10-01,559
4,2014-10-02,558
5,2014-10-03,719
6,2014-10-04,531
7,2014-10-05,505
1,2014-10-06,639
2,2014-10-07,620
3,2014-10-08,639
4,2014-10-09,499
5,2014-10-10,541
6,2014-10-11,546
7,2014-10-12,473
1,2014-10-13,451
2,2014-10-14,697
3,2014-10-15,575
4,2014-10-16,602
5,2014-10-17,648
6,2014-10-18,494
7,2014-10-19,483
1,2014-10-20,591
2,2014-10-21,607
3,2014-10-22,708
4,2014-10-23,639
5,2014-10-24,669
6,2014-10-25,515
7,2014-10-26,515
1,2014-10-27,642
2,2014-10-28,571
3,2014-10-29,556
4,2014-10-30,626
5,2014-10-31,668
6,2014-11-01,656
7,2014-11-02,532
1,2014-11-03,625
2,2014-11-04,538
3,2014-11-05,554
4,2014-11-06,652
5,2014-11-07,641
6,2014-11-08,543
7,2014-11-09,419
1,2014-11-10,560
2,2014-11-11,493
3,2014-11-12,546
4,2014-11-13,696
5,2014-11-14,654
6,2014-11-15,529
7,2014-11-16,429
1,2014-11-17,666
2,2014-11-18,712
3,2014-11-19,633
4,2014-11-20,635
5,2014-11-21,677
6,2014-11-22,512
7,2014-11-23,425
1,2014-11-24,722
2,2014-11-25,599
3,2014-11-26,742
4,2014-11-27,378
5,2014-11-28,444
6,2014-11-29,394
7,2014-11-30,377
1,2014-12-01,644
2,2014-12-02,611
3,2014-12-03,569
4,2014-12-04,606
5,2014-12-05,673
6,2014-12-06,628
7,2014-12-07,493
1,2014-12-08,579
2,2014-12-09,645
3,2014-12-10,649
4,2014-12-11,669
5,2014-12-12,687
6,2014-12-13,594
7,2014-12-14,439
1,2014-12-15,720
2,2014-12-16,645
3,2014-12-17,555
4,2014-12-18,621
5,2014-12-19,652
6,2014-12-20,505
7,2014-12-21,409
1,2014-12-22,566
2,2014-12-23,732
3,2014-12-24,519
4,2014-12-25,303
5,2014-12-26,446
6,2014-12-27,406
7,2014-12-28,349
1,2014-12-29,411
2,2014-12-30,469
3,2014-12-31,461
4,2015-01-01,395
5,2015-01-02,442
6,2015-01-03,456
7,2015-01-04,381
1,2015-01-05,498
2,2015-01-06,777
3,2015-01-07,538
4,2015-01-08,573
5,2015-01-09,751
6,2015-01-10,481
7,2015-01-11,341
1,2015-01-12,580
2,2015-01-13,613
3,2015-01-14,506
4,2015-01-15,548
5,2015-01-16,563
6,2015-01-17,495
7,2015-01-18,961
1,2015-01-19,496
2,2015-01-20,500
3,2015-01-21,495
4,2015-01-22,508
5,2015-01-23,598
6,2015-01-24,428
7,2015-01-25,406
1,2015-01-26,484
2,2015-01-27,188
3,2015-01-28,458
4,2015-01-29,519
5,2015-01-30,622
6,2015-01-31,526
7,2015-02-01,361
1,2015-02-02,680
2,2015-02-03,740
3,2015-02-04,585
4,2015-02-05,569
5,2015-02-06,652
6,2015-02-07,449
7,2015-02-08,394
1,2015-02-09,547
2,2015-02-10,571
3,2015-02-11,610
4,2015-02-12,526
5,2015-02-13,757
6,2015-02-14,436
7,2015-02-15,454
1,2015-02-16,402
2,2015-02-17,620
3,2015-02-18,626
4,2015-02-19,515
5,2015-02-20,621
6,2015-02-21,517
7,2015-02-22,519
1,2015-02-23,574
2,2015-02-24,580
3,2015-02-25,628
4,2015-02-26,539
5,2015-02-27,703
6,2015-02-28,538
7,2015-03-01,693
1,2015-03-02,650
2,2015-03-03,631
3,2015-03-04,574
4,2015-03-05,830
5,2015-03-06,939
6,2015-03-07,578
7,2015-03-08,464
1,2015-03-09,661
2,2015-03-10,584
3,2015-03-11,565
4,2015-03-12,586
5,2015-03-13,609
6,2015-03-14,507
